phone2-number	phone1-number	name	phone2-manner class	phone1-subnumber	phone1-manner class	phone1-type	phone2-subnumber	phone2-type	phone1-stress	outcome	phone2-stress
1	0	Sr	v	1	s	o	1	n	-1	Preserved	1
1	1	V	n	1	v	n	1	c	1	Preserved	-1
1	1	Nc	n	1	v	n	1	c	1	Preserved	-1
2	1	Sr	v	1	s	a	1	n	-1	Preserved	1
0	0	Nc	n	0	#		1	o	-1	Preserved	-1
1	0	Nr	v	1	n	o	1	n	-1	Preserved	1
0	1	V	g	1	v	n	1	o	1	Preserved	-1
1	0	G	v	1	g	o	1	n	-1	Preserved	1
1	1	V	g	1	v	n	1	c	1	Preserved	-1
0	1	G	s	1	g	c	1	o	-1	Preserved	-1
1	1	V	n	1	v	n	1	a	1	Preserved	-1
1	1	Nc	n	1	v	n	1	a	1	Preserved	-1
2	1	Nr	v	1	n	a	1	n	-1	Preserved	0
0	2	V	s	1	v	n	1	o	0	Preserved	-1
0	2	Sc	s	1	v	n	1	o	0	Preserved	-1
1	0	Sr	v	1	s	o	1	n	-1	Preserved	1
1	1	V	n	1	v	n	1	c	1	Preserved	-1
1	1	Nc	n	1	v	n	1	c	1	Preserved	-1
1	1	Nr	s	1	n	c	2	c	-1	Preserved	-1
1	1	V	fu	1	v	n	1	c	1	Preserved	-1
1	1	Fc	fu	1	v	n	1	c	1	Preserved	-1
1	1	Fr	v	1	fu	c	1	n	-1	Preserved	1
1	1	V	n	1	v	n	1	a	1	Preserved	-1
1	1	Nc	n	1	v	n	1	a	1	Preserved	-1
1	1	Nr	s	1	n	a	2	a	-1	Preserved	-1
1	1	Sc	s	1	n	a	2	a	-1	Preserved	-1
2	1	Sr	v	2	s	a	1	n	-1	Preserved	0
2	2	V	g	1	v	n	1	a	0	Preserved	-1
3	2	G	v	1	g	a	1	n	-1	Preserved	2
3	3	V	n	1	v	n	1	c	2	Preserved	-1
3	3	Nc	n	1	v	n	1	c	2	Preserved	-1
0	0	Fc	fn	0	#		1	o	-1	Preserved	-1
1	0	Fr	v	1	fn	o	1	n	-1	Preserved	0
0	1	V	n	1	v	n	1	o	0	Preserved	-1
0	1	Nc	n	1	v	n	1	o	0	Preserved	-1
1	0	Nr	v	1	n	o	1	n	-1	Preserved	1
1	1	V	n	1	v	n	1	a	1	Preserved	-1
1	1	Nc	n	1	v	n	1	a	1	Preserved	-1
1	1	Nr	s	1	n	a	2	a	-1	Preserved	-1
1	1	Sc	s	1	n	a	2	a	-1	Preserved	-1
2	1	Sr	v	2	s	a	1	n	-1	Preserved	0
2	2	V	n	1	v	n	1	c	0	Preserved	-1
2	2	Nc	n	1	v	n	1	c	0	Preserved	-1
