phone2-subnumber	phone1-type	phone1-manner class	phone1-stress	phone1-number	name	phone2-stress	outcome	phone2-number	phone1-subnumber	phone2-type	phone2-manner class
discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete	discrete
Inserted	Sr
Inserted	Sc
Inserted	Sr
Inserted	V
Inserted	Fc
Inserted	Fr
Inserted	G
Inserted	V
Inserted	Fc
Inserted	Fr
Inserted	Sc
Inserted	Sr
Inserted	Sr
Inserted	Sc
Inserted	Sr
Inserted	V
Inserted	Sc
Inserted	Sr
Inserted	V
Inserted	Sr
Inserted	G
Inserted	Nc
Inserted	Nr
Inserted	V
Inserted	Sc
Inserted	Sr
Inserted	Fr
Inserted	Sc
Inserted	Sr
Inserted	V
Inserted	G
Inserted	V
Inserted	Fc
Inserted	Fr
Inserted	Nc
Inserted	Nr
Inserted	Sc
Inserted	Sc
Inserted	Sr
Inserted	Sr
Inserted	V
Inserted	Nc
Inserted	Nr
Inserted	V
Inserted	G
Inserted	Nc
Inserted	Nr
Inserted	V
Inserted	Nc
Inserted	Nr
Inserted	Fr
Inserted	V
Inserted	Fc
Inserted	Fr
Inserted	G
Inserted	V
Inserted	G
Inserted	Fc
Inserted	Fr
Inserted	Nc
Inserted	Nr
Inserted	Sc
Inserted	Sr
Inserted	Fr
Inserted	V
Inserted	Sc
Inserted	Sr
Inserted	V
Inserted	G
Inserted	Nc
Inserted	Nr
Inserted	V
Inserted	G
Inserted	Sc
Inserted	Sr
Inserted	Fr
Inserted	V
Inserted	G
Inserted	V
Inserted	G
Inserted	Sc
Inserted	Sr
Inserted	V
Inserted	Nc
Inserted	Nr
Inserted	V
Inserted	G
Inserted	Fr
Inserted	V
Inserted	Sc
Inserted	Sr
Inserted	G
Inserted	V
Inserted	Fc
Inserted	Fr
Inserted	Nc
Inserted	Nr
Inserted	Fr
Inserted	Sc
Inserted	Sr
Inserted	V
Inserted	G
Inserted	Sc
Inserted	Sr
Inserted	V
Inserted	Sc
Inserted	Sr
Inserted	G
Inserted	Sc
Inserted	Sr
Inserted	V
Inserted	Fc
Inserted	Sc
Inserted	Sr
Inserted	Fr
Inserted	V
Inserted	G
Inserted	Sc
Inserted	V
Inserted	G
Inserted	Sc
Inserted	Sc
Inserted	Sr
Inserted	Sr
Inserted	Nc
Inserted	Nr
Inserted	G
Inserted	Fr
Inserted	V
Inserted	G
Inserted	Sc
Inserted	Sr
Inserted	V
Inserted	Nc
Inserted	Nr
Inserted	Sc
Inserted	Fc
Inserted	Fr
Inserted	Sc
Inserted	Sr
Inserted	Sc
Inserted	Sr
Inserted	Sr
Inserted	V
Inserted	Sc
Inserted	Sr
Inserted	G
Inserted	Sc
Inserted	Sr
1	o	s	-1	0	Sr	1	Mutated	1	1	n	v
1	n	v	1	1	Fc	-1	Mutated	1	1	c	fs
1	n	v	1	1	Fc	-1	Mutated	1	1	c	fs
